date,district,disaster_type,severity,affected_population,economic_loss_usd
2005-03-03,Musanze,Storm,Medium,1343,859254
2005-03-04,Kicukiro,Drought,High,1474,819432
2005-03-05,Bugesera,Drought,Severe,3409,178711
2005-03-05,Nyagatare,Drought,Medium,2945,189460
2005-03-06,Ngororero,Storm,High,1965,180492
2005-03-06,Nyabihu,Landslide,Severe,4469,304585
2005-03-07,Nyamagabe,Landslide,High,2744,86913
2005-03-08,Ngororero,Storm,Low,3896,376230
2005-03-10,Nyamasheke,Flood,Severe,4486,249548
2005-03-10,Rutsiro,Drought,Low,433,753769
2005-03-11,Gakenke,Flood,Medium,4847,294416
2005-03-12,Gisagara,Flood,Medium,3558,104737
2005-03-12,Bugesera,Earthquake,High,2202,873384
2005-03-15,Nyarugenge,Drought,Medium,1001,604675
2005-03-17,Nyanza,Drought,Medium,4720,125561
2005-03-17,Gasabo,Storm,High,2857,850647
2005-03-19,Bugesera,Drought,Medium,80,377519
2005-03-19,Gicumbi,Storm,Severe,2336,906215
2005-03-20,Ngoma,Landslide,Low,2701,847938
2005-03-20,Rwamagana,Storm,Low,709,219648
2005-03-21,Ngororero,Drought,High,2279,42396
2005-03-22,Rubavu,Drought,Medium,1704,649319
2005-03-23,Rutsiro,Drought,Severe,1033,579759
2005-03-25,Gisagara,Earthquake,Medium,3680,752590
2005-03-27,Gicumbi,Flood,Severe,4041,427346
2005-03-29,Rusizi,Earthquake,Severe,2660,570449
2005-03-30,Muhanga,Landslide,Low,2260,606467
2005-03-31,Nyanza,Earthquake,Low,1439,298609
2005-03-31,Nyagatare,Drought,Severe,2611,210388
2005-04-01,Kayonza,Drought,Severe,4493,802318
2005-04-01,Ruhango,Earthquake,Severe,590,727824
2005-04-02,Karongi,Storm,High,3103,684465
2005-04-02,Huye,Drought,High,967,885802
2005-04-05,Gicumbi,Earthquake,Medium,4010,587525
2005-04-07,Musanze,Storm,Medium,2996,101730
2005-04-08,Burera,Landslide,Medium,2597,70455
2005-04-08,Gasabo,Flood,Medium,2422,739849
2005-04-10,Musanze,Landslide,Medium,4870,979528
2005-04-10,Bugesera,Drought,Medium,4900,901629
2005-04-11,Rusizi,Storm,Severe,1285,48338
2005-04-11,Nyanza,Landslide,Low,3855,788030
2005-04-14,Burera,Flood,Low,3932,943417
2005-04-14,Rubavu,Flood,Severe,3541,98352
2005-04-15,Gicumbi,Landslide,Low,3503,493802
2005-04-16,Nyagatare,Flood,Severe,1875,837294
2005-04-16,Nyarugenge,Flood,Medium,3854,256719
2005-04-19,Nyarugenge,Drought,Low,480,20114
2005-04-19,Kirehe,Flood,Medium,1739,636075
2005-04-20,Kayonza,Drought,Low,2580,669703
2005-04-20,Gisagara,Drought,Severe,4683,417996
2005-04-21,Kayonza,Landslide,Low,4269,337451
2005-04-22,Karongi,Drought,High,3260,449290
2005-04-23,Bugesera,Flood,Low,2480,979866
2005-04-23,Rutsiro,Landslide,Severe,1395,921454
2005-04-25,Nyaruguru,Flood,Low,4166,389143
2005-04-27,Nyamasheke,Drought,High,1294,275583
2005-04-27,Burera,Storm,High,2042,407639
2005-04-28,Muhanga,Drought,Medium,3536,875145
2005-04-29,Kicukiro,Flood,Low,3267,392580
2005-04-29,Nyarugenge,Earthquake,Severe,964,631684
2005-04-30,Nyamasheke,Drought,Severe,1142,148794
2005-04-30,Rwamagana,Drought,Low,4215,700800
2005-05-01,Musanze,Flood,High,2659,506355
2005-05-02,Rwamagana,Storm,High,1160,547518
2005-05-04,Gasabo,Landslide,High,1229,879676
2005-05-06,Karongi,Flood,Medium,1438,103345
2005-05-06,Gatsibo,Storm,Low,2849,699152
2005-05-07,Gicumbi,Earthquake,Severe,2409,358936
2005-05-08,Rwamagana,Flood,Low,3422,13531
2005-05-09,Rulindo,Landslide,Low,4915,731204
2005-05-10,Rusizi,Flood,Severe,4092,398961
2005-05-11,Huye,Storm,Severe,3430,412063
2005-05-12,Rulindo,Storm,High,3963,840392
2005-05-13,Gakenke,Drought,High,68,661193
2005-05-14,Rusizi,Landslide,Low,3536,151850
2005-05-14,Gicumbi,Storm,Severe,3905,326883
2005-05-15,Rubavu,Drought,Medium,2235,466523
2005-05-17,Gisagara,Flood,Medium,1550,209195
2005-05-17,Gakenke,Storm,Medium,3040,381021
2005-05-18,Kicukiro,Drought,Severe,4285,814563
2005-05-19,Nyanza,Landslide,Low,2702,298204
2005-05-20,Nyamasheke,Flood,High,2175,250601
2005-05-20,Rulindo,Flood,Severe,4293,148305
2005-05-21,Nyarugenge,Landslide,Low,4590,274511
2005-05-23,Rutsiro,Landslide,Severe,4004,847673
2005-05-24,Burera,Storm,High,3713,687356
2005-05-24,Gatsibo,Earthquake,High,2122,176334
2005-05-28,Nyarugenge,Storm,Medium,779,553857
2005-05-29,Rulindo,Drought,Low,2451,281745
2005-05-29,Nyarugenge,Landslide,Medium,1796,740626
2005-06-01,Rutsiro,Landslide,Low,2102,715897
2005-06-02,Kirehe,Drought,Severe,3854,606245
2005-06-04,Rusizi,Storm,High,3505,964437
2005-06-05,Rutsiro,Drought,Medium,4317,862892
2005-06-06,Kamonyi,Landslide,Medium,2392,268118
2005-06-10,Muhanga,Drought,High,1671,182796
2005-06-12,Huye,Flood,Low,2216,863256
2005-06-13,Ngororero,Earthquake,Severe,3407,44758
2005-06-14,Gasabo,Earthquake,Medium,3868,940659
2005-06-17,Kicukiro,Storm,High,2926,843313
2005-06-18,Nyarugenge,Storm,Medium,556,368655
2005-06-21,Kicukiro,Flood,Severe,3357,128250
2005-06-23,Kamonyi,Storm,Medium,1919,9205
2005-06-24,Muhanga,Storm,Low,2785,376020
2005-06-26,Ngororero,Landslide,Medium,713,545191
2005-06-28,Kirehe,Flood,Severe,261,74536
2005-07-01,Ngoma,Drought,Severe,4371,946894
2005-07-02,Kirehe,Flood,High,1054,513538
2005-07-04,Ngoma,Drought,Low,2591,43753
2005-07-06,Musanze,Drought,High,3054,587999
2005-07-07,Gasabo,Landslide,High,2747,716732
2005-07-10,Nyarugenge,Landslide,Medium,554,638829
2005-07-11,Karongi,Flood,Severe,1781,856127
2005-07-14,Gicumbi,Drought,High,4061,428594
2005-07-15,Kamonyi,Flood,Low,4026,407818
2005-07-19,Nyamasheke,Earthquake,Low,4348,159296
2005-07-20,Ruhango,Earthquake,Low,1741,226683
2005-07-21,Kamonyi,Storm,Severe,3670,375692
2005-07-23,Gakenke,Drought,Low,594,538785
2005-07-24,Gasabo,Earthquake,Low,255,722293
2005-07-26,Nyamagabe,Drought,Low,3672,390205
2005-07-30,Rulindo,Flood,Medium,2178,369380
2005-08-01,Ngororero,Storm,Medium,4733,59960
2005-08-02,Nyamagabe,Drought,Low,1382,783653
2005-08-03,Gatsibo,Earthquake,Low,4088,168022
2005-08-06,Rwamagana,Drought,Severe,686,596561
2005-08-07,Kicukiro,Flood,High,3962,162273
2005-08-08,Rulindo,Landslide,High,312,343748
2005-08-09,Muhanga,Drought,High,4962,629150
2005-08-11,Musanze,Flood,Severe,2087,10211
2005-08-12,Nyamagabe,Storm,Severe,2747,508530
2005-08-13,Nyaruguru,Earthquake,Medium,998,813411
2005-08-14,Nyamagabe,Drought,High,1624,801858
2005-08-22,Gakenke,Drought,Medium,2513,755502
2005-08-23,Gisagara,Earthquake,High,1522,795718
2005-08-25,Rutsiro,Landslide,High,1848,16344
2005-08-29,Huye,Landslide,Severe,4337,35252
2005-08-31,Gicumbi,Drought,Medium,2409,944979
2005-09-02,Rwamagana,Storm,High,137,241706
2005-09-03,Ruhango,Landslide,Severe,4932,469118
2005-09-03,Nyaruguru,Storm,Low,2474,864764
2005-09-05,Gisagara,Flood,Medium,1331,374012
2005-09-08,Gicumbi,Drought,Severe,3971,864098
2005-09-08,Ruhango,Earthquake,Severe,741,194960
2005-09-10,Muhanga,Drought,Severe,1952,311897
2005-09-10,Ngoma,Flood,Low,1128,925507
2005-09-11,Rubavu,Drought,Severe,4310,542416
2005-09-12,Bugesera,Storm,Severe,3113,407734
2005-09-12,Rutsiro,Flood,High,2488,596535
2005-09-13,Rulindo,Flood,Severe,3613,902175
2005-09-13,Gisagara,Drought,Medium,1670,865169
2005-09-14,Ngoma,Flood,Low,4922,978134
2005-09-14,Rusizi,Earthquake,Low,1805,144426
2005-09-15,Burera,Flood,Medium,3026,173966
2005-09-15,Nyagatare,Drought,Medium,974,758085
2005-09-17,Rutsiro,Landslide,Medium,206,147116
2005-09-17,Gatsibo,Landslide,Low,4902,580768
2005-09-18,Nyabihu,Landslide,Low,1725,199499
2005-09-18,Nyamasheke,Drought,Medium,2136,482165
2005-09-20,Gisagara,Drought,Medium,2189,169634
2005-09-20,Muhanga,Earthquake,Medium,591,48361
2005-09-21,Karongi,Earthquake,Severe,1213,606866
2005-09-23,Ngororero,Earthquake,Severe,4814,792979
2005-09-24,Ruhango,Storm,High,3300,578199
2005-09-24,Kayonza,Earthquake,Severe,1624,150970
2005-09-25,Rulindo,Landslide,Low,1421,11283
2005-09-25,Burera,Landslide,Medium,3047,799354
2005-09-28,Ngororero,Landslide,Low,1298,534625
2005-09-29,Nyamasheke,Storm,Low,1401,167706
2005-09-29,Gicumbi,Flood,Severe,2773,703553
2005-09-30,Ngororero,Storm,Low,1152,479143
2005-10-01,Rulindo,Storm,Severe,718,744082
2005-10-02,Rulindo,Drought,Medium,4838,272773
2005-10-02,Nyamagabe,Flood,Low,1144,487792
2005-10-03,Rwamagana,Drought,Severe,1567,911432
2005-10-03,Nyarugenge,Flood,Low,1181,469963
2005-10-04,Gakenke,Landslide,Low,4092,94727
2005-10-04,Musanze,Earthquake,High,3641,510010
2005-10-05,Nyarugenge,Earthquake,High,279,638425
2005-10-05,Gakenke,Earthquake,Medium,2902,623803
2005-10-06,Rutsiro,Storm,Severe,3410,710267
2005-10-08,Kayonza,Landslide,Medium,3898,520368
2005-10-11,Gisagara,Drought,Severe,3752,894996
2005-10-12,Musanze,Storm,Medium,3712,490215
2005-10-12,Ngoma,Drought,Medium,278,69078
2005-10-17,Gakenke,Landslide,Low,4144,982435
2005-10-18,Gakenke,Storm,Medium,4675,66352
2005-10-18,Nyarugenge,Landslide,Medium,1264,941837
2005-10-24,Rusizi,Drought,High,3100,418481
2005-10-24,Kirehe,Earthquake,Medium,1454,193498
2005-10-25,Ngororero,Flood,High,637,56636
2005-10-25,Nyamasheke,Storm,Medium,3659,940022
2005-10-27,Muhanga,Drought,High,641,596392
2005-10-27,Gisagara,Landslide,Medium,1451,203700
2005-10-28,Rulindo,Landslide,Severe,4710,531213
2005-10-29,Gasabo,Drought,Medium,2049,575040
2005-11-03,Rubavu,Landslide,Medium,2766,51515
2005-11-04,Rwamagana,Earthquake,High,392,439991
2005-11-05,Kamonyi,Storm,Severe,3601,467293
2005-11-08,Gakenke,Earthquake,Low,139,890571
2005-11-08,Gisagara,Drought,Low,3841,37024
2005-11-09,Ngororero,Flood,Low,1703,350220
2005-11-09,Gisagara,Landslide,Low,962,523977
2005-11-11,Kamonyi,Drought,High,463,935576
2005-11-11,Nyaruguru,Flood,High,2073,898385
2005-11-12,Kirehe,Landslide,Medium,2763,378111
2005-11-13,Gicumbi,Flood,Severe,254,990026
2005-11-13,Kicukiro,Earthquake,Medium,3693,391835
2005-11-15,Musanze,Storm,Medium,1028,792385
2005-11-15,Kayonza,Earthquake,Severe,991,872340
2005-11-16,Musanze,Storm,Low,477,445836
2005-11-17,Musanze,Flood,Low,289,48166
2005-11-17,Kicukiro,Drought,Medium,1190,420647
2005-11-18,Rutsiro,Earthquake,Severe,3121,822918
2005-11-19,Gakenke,Flood,Medium,2857,584699
2005-11-19,Gakenke,Flood,High,4381,682221
2005-11-20,Rubavu,Drought,Medium,4235,136523
2005-11-21,Rusizi,Drought,Severe,4126,94316
2005-11-22,Kayonza,Landslide,Low,4274,876123
2005-11-24,Gisagara,Flood,Medium,3876,145982
2005-11-24,Rusizi,Storm,High,2360,837192
2005-11-25,Rwamagana,Earthquake,Low,1402,377899
2005-12-01,Huye,Storm,Low,4699,361402
2005-12-01,Burera,Landslide,Low,3381,777086
2005-12-03,Gisagara,Landslide,High,1902,916384
2005-12-04,Rutsiro,Drought,Low,2874,958576
2005-12-04,Gisagara,Storm,Medium,2450,923581
2005-12-05,Burera,Landslide,Low,917,782090
2005-12-05,Kayonza,Landslide,Low,2305,409031
2005-12-06,Nyarugenge,Flood,Low,424,818176
2005-12-07,Gasabo,Storm,Severe,3160,547633
2005-12-07,Nyamasheke,Landslide,Low,2628,360619
2005-12-08,Gicumbi,Earthquake,Severe,1730,547663
2005-12-09,Ruhango,Landslide,Medium,3961,179158
2005-12-09,Karongi,Storm,Severe,1810,432489
2005-12-10,Muhanga,Landslide,Medium,1264,418753
2005-12-11,Nyanza,Storm,Medium,4172,510548
2005-12-11,Kicukiro,Flood,Low,4078,934465
2005-12-12,Gatsibo,Flood,Medium,3357,768984
2005-12-13,Burera,Earthquake,High,3926,298137
2005-12-15,Muhanga,Earthquake,Severe,1493,940925
2005-12-15,Rulindo,Drought,Medium,3891,792636
2005-12-17,Gicumbi,Drought,Low,3321,832842
2005-12-17,Gisagara,Landslide,High,1791,73537
2005-12-18,Nyanza,Storm,Medium,1806,91796
2005-12-18,Nyanza,Storm,Medium,272,371691
2005-12-19,Kayonza,Storm,Severe,1014,531979
2005-12-19,Nyaruguru,Flood,High,4571,589541
2005-12-20,Gatsibo,Landslide,Severe,225,981884
2005-12-20,Nyagatare,Landslide,Low,1615,391011
2005-12-21,Karongi,Flood,Medium,1351,915097
2005-12-24,Ruhango,Drought,Medium,3259,170470
2005-12-24,Karongi,Drought,Low,4335,978557
2005-12-25,Gicumbi,Landslide,High,1746,647248
2005-12-25,Kirehe,Storm,Severe,3528,746121
2005-12-26,Gasabo,Storm,Medium,1943,807811
2005-12-26,Ngororero,Drought,Severe,1628,126150
2005-12-27,Gakenke,Storm,Medium,3594,674243
2005-12-27,Gasabo,Storm,Low,1145,639128
2005-12-28,Bugesera,Storm,Medium,1919,84785
2005-12-28,Kicukiro,Flood,Low,610,877290
2005-12-29,Kirehe,Storm,Severe,4568,950790
2005-12-29,Bugesera,Flood,Severe,3324,646526
2005-12-31,Ngoma,Storm,Low,863,810688
2005-12-31,Nyamasheke,Landslide,Medium,1478,900611
2006-01-01,Rusizi,Drought,High,2961,507490
2006-01-02,Kirehe,Storm,Low,3387,929089
2006-01-04,Karongi,Landslide,Medium,1853,146682
2006-01-05,Ngororero,Drought,High,983,389591
2006-01-06,Nyarugenge,Flood,Medium,578,326493
2006-01-10,Kayonza,Flood,High,4406,657384
2006-01-12,Ruhango,Landslide,High,2287,470133
2006-01-13,Nyagatare,Flood,Low,1692,931063
2006-01-14,Rusizi,Drought,Low,2939,560929
2006-01-16,Rwamagana,Landslide,Medium,1904,582830
2006-01-21,Ngororero,Earthquake,Medium,3524,534230
2006-01-23,Gakenke,Flood,Medium,3311,63978
2006-01-24,Kirehe,Flood,Medium,3255,863182
2006-01-25,Ruhango,Landslide,Medium,4221,444472
2006-01-26,Huye,Earthquake,High,2166,767692
2006-01-28,Rubavu,Drought,Medium,2539,309599
2006-01-29,Ruhango,Drought,High,1833,236033
2006-01-31,Nyabihu,Drought,High,2727,999742
2006-02-04,Gakenke,Storm,Severe,194,212869
2006-02-08,Kirehe,Earthquake,Medium,4195,955806
2006-02-09,Rusizi,Flood,Low,4102,230768
2006-02-10,Rusizi,Flood,Medium,494,512982
2006-02-13,Gasabo,Storm,Medium,3229,442259
2006-02-18,Kirehe,Storm,Medium,780,444058
2006-02-19,Rutsiro,Flood,High,4297,508560
2006-02-20,Rulindo,Earthquake,Medium,3021,149159
2006-02-24,Nyarugenge,Landslide,Medium,1914,9051
2006-02-25,Kicukiro,Storm,Medium,538,102361
2006-02-26,Muhanga,Flood,Low,2005,289407
2006-02-28,Ruhango,Earthquake,Low,4772,96205
2006-03-01,Gasabo,Landslide,Severe,2657,702689
2006-03-03,Nyabihu,Storm,Low,4133,125558
2006-03-05,Kamonyi,Drought,Severe,210,303360
2006-03-05,Rulindo,Earthquake,Severe,4498,35510
2006-03-06,Kicukiro,Flood,Low,3656,197107
2006-03-06,Huye,Drought,High,2174,254182
2006-03-07,Rulindo,Storm,Severe,2652,961744
2006-03-07,Nyanza,Storm,Low,318,848774
2006-03-09,Rusizi,Drought,Medium,1944,245477
2006-03-10,Kayonza,Earthquake,Severe,1653,648784
2006-03-10,Kayonza,Storm,Low,1376,999224
2006-03-11,Burera,Earthquake,Low,4728,659358
2006-03-11,Kicukiro,Flood,High,4930,385044
2006-03-14,Karongi,Landslide,Medium,2419,739231
2006-03-17,Kayonza,Landslide,Severe,562,458581
2006-03-18,Ngororero,Flood,Low,2191,503362
2006-03-19,Ngororero,Drought,Medium,2859,22724
2006-03-20,Kirehe,Flood,High,3921,95783
2006-03-20,Gicumbi,Earthquake,Medium,3076,797766
2006-03-22,Kicukiro,Earthquake,Low,1111,167489
2006-03-22,Nyagatare,Flood,Low,2063,118093
2006-03-23,Kayonza,Earthquake,High,3317,383053
2006-03-23,Nyaruguru,Flood,Severe,3844,712873
2006-03-24,Ruhango,Storm,Severe,4313,442850
2006-03-24,Rwamagana,Storm,Medium,3366,216518
2006-03-25,Rubavu,Landslide,Medium,4171,108507
2006-03-26,Nyamasheke,Flood,Medium,3900,630334
2006-03-27,Ngoma,Earthquake,Medium,3335,535864
2006-03-27,Gasabo,Landslide,High,1847,992252
2006-03-28,Gicumbi,Flood,Low,2355,577670
2006-03-30,Nyagatare,Storm,Medium,3494,274249
2006-03-31,Rubavu,Flood,Low,4150,379546
2006-04-01,Kirehe,Storm,High,983,564730
2006-04-03,Kirehe,Storm,Severe,4822,183565
2006-04-03,Nyaruguru,Flood,Low,1221,867924
2006-04-04,Nyarugenge,Flood,High,4651,445271
2006-04-04,Nyamagabe,Earthquake,Severe,967,905840
2006-04-05,Ngororero,Storm,Severe,3878,845969
2006-04-05,Ngororero,Flood,Severe,2708,874107
2006-04-08,Musanze,Drought,Low,2400,96530
2006-04-08,Nyaruguru,Landslide,Severe,2799,241844
2006-04-11,Nyamagabe,Drought,Severe,1462,444348
2006-04-11,Kirehe,Flood,High,4972,40472
2006-04-12,Gakenke,Drought,Severe,3980,934325
2006-04-13,Burera,Drought,Severe,540,959624
2006-04-13,Nyagatare,Storm,High,1453,721140
2006-04-14,Gicumbi,Earthquake,High,3983,567617
2006-04-14,Nyaruguru,Landslide,Severe,3214,303164
2006-04-15,Gakenke,Landslide,Low,1435,440889
2006-04-16,Rutsiro,Earthquake,High,3451,604081
2006-04-16,Kamonyi,Drought,High,2871,465843
2006-04-17,Nyabihu,Landslide,Low,503,793210
2006-04-17,Karongi,Drought,Severe,3241,706199
2006-04-18,Gisagara,Flood,Severe,1625,502629
2006-04-20,Kirehe,Storm,Severe,474,127668
2006-04-22,Gisagara,Storm,High,310,333784
2006-04-23,Nyabihu,Landslide,Medium,3992,311255
2006-04-23,Bugesera,Storm,Low,4735,559995
2006-04-25,Rulindo,Drought,High,1253,574942
2006-04-26,Nyabihu,Landslide,Severe,3609,318109
2006-04-26,Gakenke,Flood,High,797,947045
2006-04-28,Nyagatare,Landslide,Medium,2080,676883
2006-04-28,Gakenke,Drought,Low,3674,895433
2006-04-29,Kirehe,Drought,Severe,1369,768596
2006-04-29,Nyagatare,Drought,Medium,4023,365218
2006-04-30,Kamonyi,Storm,Severe,3570,630990
2006-05-01,Kirehe,Earthquake,Low,2827,517922
2006-05-01,Kicukiro,Storm,Low,3271,436577
2006-05-02,Rulindo,Storm,Medium,1848,237499
2006-05-03,Ruhango,Flood,Severe,481,174230
2006-05-03,Musanze,Drought,Medium,3000,536348
2006-05-05,Rulindo,Landslide,Severe,4349,487377
2006-05-06,Karongi,Storm,Severe,4807,690215
2006-05-06,Rulindo,Flood,Severe,2906,440286
2006-05-07,Rubavu,Landslide,Severe,4746,708436
2006-05-07,Nyabihu,Earthquake,Medium,1172,643232
2006-05-08,Nyamasheke,Storm,Low,1827,216859
2006-05-10,Rulindo,Storm,Medium,1534,84106
2006-05-10,Kayonza,Flood,Medium,3420,392432
2006-05-11,Musanze,Drought,Low,3924,320553
2006-05-12,Gasabo,Landslide,Medium,2949,36044
2006-05-12,Ngoma,Earthquake,Medium,4874,958353
2006-05-14,Gakenke,Landslide,Severe,315,940261
2006-05-15,Huye,Flood,Low,3820,155149
2006-05-15,Burera,Storm,Medium,1782,924141
2006-05-16,Ngororero,Drought,High,4487,634430
2006-05-16,Karongi,Landslide,Medium,894,732866
2006-05-17,Gicumbi,Flood,High,4066,576006
2006-05-17,Musanze,Flood,Severe,3309,776303
2006-05-18,Rubavu,Landslide,Low,1924,359831
2006-05-19,Ngoma,Landslide,Medium,2914,781148
2006-05-20,Gatsibo,Flood,Low,4584,684970
2006-05-20,Kirehe,Drought,Low,4806,575808
2006-05-21,Rusizi,Earthquake,Medium,1794,323766
2006-05-21,Gatsibo,Storm,Severe,1086,509341
2006-05-22,Bugesera,Drought,High,3715,662876
2006-05-24,Nyamasheke,Storm,Severe,2517,412772
2006-05-24,Rubavu,Earthquake,Low,1900,831890
2006-05-25,Rusizi,Storm,Medium,1810,503848
2006-05-27,Nyagatare,Landslide,Severe,3745,252028
2006-05-27,Bugesera,Flood,Low,1897,997166
2006-05-29,Nyamasheke,Storm,Medium,235,521161
2006-05-31,Rulindo,Landslide,Low,2934,560190
2006-06-02,Nyanza,Earthquake,Severe,4841,905117
2006-06-03,Karongi,Drought,Medium,575,490584
2006-06-04,Burera,Landslide,Medium,1057,665803
2006-06-06,Burera,Storm,High,792,675808
2006-06-07,Huye,Storm,High,916,620734
2006-06-08,Huye,Earthquake,High,1865,530631
2006-06-09,Nyaruguru,Flood,High,1575,825252
2006-06-10,Nyamasheke,Flood,Medium,4468,610626
2006-06-13,Gisagara,Drought,Medium,1311,14969
2006-06-14,Nyagatare,Earthquake,Medium,1327,852447
2006-06-15,Gasabo,Landslide,Medium,1883,242745
2006-06-17,Huye,Landslide,High,2324,363256
2006-06-21,Nyabihu,Earthquake,Medium,1812,397837
2006-06-25,Kicukiro,Flood,Severe,3228,140069
2006-06-27,Rusizi,Earthquake,High,4195,9895
2006-06-29,Gasabo,Drought,Low,582,566818
2006-07-01,Nyarugenge,Landslide,High,266,921800
2006-07-02,Kayonza,Drought,Low,4449,975426
2006-07-03,Ngororero,Earthquake,Low,1488,339473
2006-07-05,Nyarugenge,Flood,Low,211,649889
2006-07-07,Karongi,Landslide,Severe,3474,703147
2006-07-09,Kayonza,Flood,Low,1816,981361
2006-07-16,Rusizi,Storm,Low,1593,283486
2006-07-21,Bugesera,Earthquake,High,581,187402
2006-07-23,Huye,Drought,Severe,2776,927402
2006-07-24,Kayonza,Drought,Low,765,276924
2006-07-25,Gatsibo,Landslide,Severe,3603,923187
2006-07-28,Nyanza,Drought,Low,293,641632
2006-07-29,Nyabihu,Landslide,Low,2417,581580
2006-07-31,Rusizi,Earthquake,Low,1984,612211
2006-08-02,Bugesera,Landslide,High,2809,227403
2006-08-06,Nyamasheke,Storm,Severe,3199,392364
2006-08-08,Nyaruguru,Earthquake,High,1666,914994
2006-08-11,Rusizi,Storm,Severe,3720,700253
2006-08-13,Gatsibo,Earthquake,Medium,2390,866985
2006-08-14,Nyaruguru,Landslide,Severe,2113,185896
2006-08-15,Kayonza,Drought,Medium,2042,771673
2006-08-16,Ngoma,Storm,Severe,807,601725
2006-08-20,Rwamagana,Storm,Medium,4151,917389
2006-08-22,Gicumbi,Drought,Severe,3122,74092
2006-08-23,Huye,Earthquake,Severe,214,448003
2006-08-24,Nyamasheke,Drought,Severe,3431,961066
2006-08-27,Rusizi,Drought,Low,4296,532728
2006-08-28,Kirehe,Earthquake,Severe,4409,630552
2006-08-29,Rusizi,Earthquake,Severe,2580,369565
2006-08-30,Bugesera,Landslide,Medium,190,708010
2006-09-02,Rwamagana,Landslide,Medium,3402,202061
2006-09-04,Nyaruguru,Landslide,Severe,1589,800961
2006-09-04,Kirehe,Drought,Medium,2653,104836
2006-09-05,Ngoma,Landslide,Severe,615,418955
2006-09-05,Nyagatare,Earthquake,High,3573,950054
2006-09-10,Musanze,Storm,Medium,4867,558282
2006-09-11,Kicukiro,Earthquake,Low,704,235571
2006-09-11,Burera,Storm,Medium,3071,842304
2006-09-12,Kicukiro,Flood,Medium,1304,352264
2006-09-12,Nyarugenge,Drought,High,3092,777319
2006-09-13,Rutsiro,Earthquake,High,3278,705849
2006-09-15,Gakenke,Storm,Medium,2393,739715
2006-09-17,Gasabo,Earthquake,Medium,4529,934638
2006-09-19,Nyamagabe,Earthquake,Severe,4204,929246
2006-09-19,Ruhango,Flood,High,1104,296450
2006-09-20,Nyamasheke,Drought,Severe,562,935841
2006-09-21,Bugesera,Storm,High,1608,439983
2006-09-21,Rubavu,Earthquake,Low,940,971329
2006-09-22,Nyamasheke,Flood,Severe,2242,23764
2006-09-23,Ngororero,Storm,Medium,260,11787
2006-09-23,Huye,Earthquake,Low,2483,12365
2006-09-25,Rulindo,Earthquake,Medium,4060,43379
2006-09-26,Nyagatare,Earthquake,Low,660,79595
2006-09-27,Gasabo,Landslide,Medium,2709,849718
2006-09-28,Ngororero,Drought,Low,4643,418354
2006-09-28,Gisagara,Landslide,Medium,387,89619
2006-09-29,Nyarugenge,Flood,Severe,4229,184596
2006-09-29,Musanze,Earthquake,Low,2330,857218
2006-09-30,Nyaruguru,Flood,Low,3327,320551
2006-10-01,Kamonyi,Storm,Medium,4393,770870
2006-10-02,Musanze,Drought,Medium,3728,531359
2006-10-03,Bugesera,Storm,Medium,2963,330648
2006-10-06,Gasabo,Earthquake,Medium,974,984778
2006-10-09,Burera,Storm,Low,685,838294
2006-10-09,Nyaruguru,Storm,Low,3807,935186
2006-10-12,Rwamagana,Landslide,Medium,1977,491053
2006-10-14,Nyabihu,Flood,Severe,555,913702
2006-10-14,Ruhango,Flood,Severe,3250,747995
2006-10-15,Rutsiro,Earthquake,Low,476,597607
2006-10-15,Muhanga,Flood,High,3014,119756
2006-10-17,Bugesera,Landslide,Medium,1988,233445
2006-10-17,Nyamagabe,Storm,Medium,750,587521
2006-10-18,Gakenke,Landslide,Severe,443,107835
2006-10-22,Gisagara,Drought,High,3723,239147
2006-10-22,Rutsiro,Flood,Severe,1656,141463
2006-10-23,Gicumbi,Flood,Low,1432,499270
2006-10-23,Gakenke,Flood,Low,2424,88381
2006-10-24,Nyamagabe,Flood,Medium,4906,614512
2006-10-24,Nyarugenge,Drought,High,262,817210
2006-10-26,Ruhango,Earthquake,Low,293,230556
2006-10-26,Kirehe,Drought,Severe,3274,18629
2006-10-28,Musanze,Landslide,Severe,1116,445660
2006-10-29,Gisagara,Drought,Medium,2765,193797
2006-10-30,Nyamasheke,Flood,Medium,2751,437936
2006-10-30,Ngororero,Earthquake,Severe,3489,624793
2006-10-31,Kirehe,Flood,Severe,2814,469583
2006-10-31,Bugesera,Flood,Low,4443,869253
2006-11-01,Kamonyi,Flood,Low,3324,845860
2006-11-01,Musanze,Drought,Low,163,902180
2006-11-02,Kirehe,Storm,Low,1867,729251
2006-11-03,Kayonza,Flood,Medium,4824,888674
2006-11-03,Nyanza,Earthquake,Medium,2974,206757
2006-11-04,Kayonza,Earthquake,Medium,64,631417
2006-11-04,Nyamasheke,Drought,Low,2419,147705
2006-11-05,Gakenke,Drought,Medium,2346,610895
2006-11-05,Bugesera,Storm,High,3697,989879
2006-11-07,Karongi,Earthquake,Medium,2884,681920
2006-11-07,Huye,Earthquake,High,2776,891502
2006-11-08,Ngoma,Earthquake,Severe,4228,760483
2006-11-09,Karongi,Landslide,High,4029,586357
2006-11-09,Gicumbi,Storm,Medium,4515,466989
2006-11-10,Kayonza,Earthquake,Low,3776,754604
2006-11-13,Rusizi,Earthquake,Severe,695,8835
